,Constituency,Party,Total_Expenses,Name_of_Member,State,Attendance_days,Criminal_Cases,Education,Total_Assets,Liabilities,ratio_ex_as,attendance
162,Jajpur,BJD,1535239,Shri  Mohan  Jena                                              ,Orissa                                                      ,22,0,Post Graduate,3046404,0,0.503951216,0.846153846
216,Kozhikode,INC,1010670,Shri  M. K.  Raghavan                                          ,Kerala                                                      ,22,0,Graduate,1409694,1055000,0.716942826,0.846153846
181,Kaliabor,INC,2208612,Shri  Dip  Gogoi                                             ,Assam                                                       ,22,0,Graduate,2539058,0,0.869854883,0.846153846
111,Durg,BJP,1123933,Kum.  Saroj  Pandey                                            ,Chhattisgarh                                                ,22,0,Post Graduate,379787,667787,2.95937723,0.846153846
42,Banda,SP,1631812,Shri  R.K. Singh  Patel                                             ,Uttar Pradesh                                               ,22,1,Graduate,34107955,0,0.047842563,0.846153846
284,Raigad,SHS,1513192,Shri  Anant Gangaram  Geete                                             ,Maharashtra                                                 ,22,1,10th Pass,8555617,0,0.176865327,0.846153846
27,Attingal,CPM,1902458,Adv.  A.  Sampath                                           ,Kerala                                                      ,22,2,Post Graduate,8999000,2150029,0.211407712,0.846153846
356,Ujjain,INC,1765366,Shri  Premchand  Guddu                                             ,Madhya Pradesh                                              ,22,3,5th Pass,105031313,1500000,0.016807997,0.846153846
308,Satna,BJP,1800641,Shri  Ganesh  Singh                                             ,Madhya Pradesh                                              ,22,3,Post Graduate,7372032,16585,0.244253009,0.846153846
280,Pratapgarh,INC,2101388,Rajkumari  Ratna  Singh                                             ,Uttar Pradesh                                               ,22,5,Graduate,678270725,1002000,0.003098155,0.846153846
69,Bhiwandi,INC,1469474,Shri   Suresh  Kashinath   Taware                                ,Maharashtra                                                 ,21,0,Graduate,109039952,1250000,0.013476473,0.807692308
173,Jhalawar-Baran,BJP,2155829,Shri  Dushyant  Singh                                             ,Rajasthan                                                   ,21,0,Post Graduate,64110900,2779153,0.03362656,0.807692308
333,Surendranagar,INC,1040901,Shri  Somabhai Gandalal Koli  Patel                                             ,Gujarat                                                     ,21,0,5th Pass,18618718,0,0.055906159,0.807692308
254,Mysore,INC,1587295,Shri  Adagooru  Vishwanath                                        ,Karnataka                                                   ,21,0,Graduate Professional,28291172,7367061,0.056105664,0.807692308
327,Sreerampur,AITC,907777,Shri  Kalyan  Banerjee                                          ,West Bengal                                                 ,21,0,Graduate Professional,16146266,2125000,0.056222101,0.807692308
73,Bijapur,BJP,686056,Shri  Ramesh Chandappa  Jigajinagi                                        ,Karnataka                                                   ,21,0,Graduate,11753725,3902460,0.05836924,0.807692308
120,Fatehpur Sikri,BSP,1585675,Smt.  Seema  Upadhyay                                          ,Uttar Pradesh                                               ,21,0,Graduate,26545096,1595708,0.059735139,0.807692308
368,Wayanad,INC,1580237,Shri  M. I.  Shanavas                                          ,Kerala                                                      ,21,0,Post Graduate,23904424,2548978,0.066106466,0.807692308
250,Moradabad,INC,1756278,Shri  Mohammed  Azharuddin                                        ,Uttar Pradesh                                               ,21,0,Graduate,25233948,565160,0.069599811,0.807692308
178,Kairana,BSP,972643,  Smt. Tabassum  Hasan  ,Uttar Pradesh                                               ,21,0,10th Pass,11667328,0,0.083364674,0.807692308
267,North Goa,BJP,928846,Shri  Shripad Yesso  Naik                                              ,Goa                                                         ,21,0,Graduate,9897462,912582,0.093846887,0.807692308
101,Dhar,INC,1956209,Shri  Gajendra Singh  Rajukhedi                                         ,Madhya Pradesh                                              ,21,0,Graduate Professional,20653466,0,0.094715773,0.807692308
310,Shahjahanpur,SP,941436,Shri    Mithlesh Kumar                                    ,Uttar Pradesh                                               ,21,0,Graduate,8035655,1746024,0.117157344,0.807692308
63,Betul,BJP,861555,Smt.  Jyoti  Dhurve                                            ,Madhya Pradesh                                              ,21,0,Post Graduate,7135000,638122,0.120750526,0.807692308
211,Koppal,BJP,1865093,Shri  Shivarama  Gouda                                             ,Karnataka                                                   ,21,0,Graduate Professional,14518988,3078847,0.128458884,0.807692308
142,Hardoi,SP,1324205,Smt.  Usha  Verma                                             ,Uttar Pradesh                                               ,21,0,Post Graduate,10111699,500000,0.130957715,0.807692308
157,Jabalpur,BJP,1281972,Shri  Rakesh  Singh                                             ,Madhya Pradesh                                              ,21,0,Graduate,9231699,10545,0.138866313,0.807692308
209,Kolkata Uttar,AITC,1721663,Shri  Sudip  Bandyopadhyay                                     ,West Bengal                                                 ,21,0,Graduate,4187479,196283,0.411145465,0.807692308
20,Anantnag,JKN,2446102,Shri  Mirza Mehboob  Beg                                               ,Jammu and Kashmir                                           ,21,0,Graduate Professional,4850000,0,0.504350928,0.807692308
349,Tripura East,CPM,2019184,Shri  Baju Ban  Riyan                                             ,Tripura                                                     ,21,0,Graduate,3695981,0,0.546318826,0.807692308
354,Udhampur,INC,1482694,Chaudhary  Lal  Singh                                             ,Jammu and Kashmir                                           ,21,0,Graduate,1762378,2650000,0.841303058,0.807692308
114,Erode,MDMK,923980,Shri  A.  Ganeshamurthi                                     ,Tamil Nadu                                                  ,21,1,Graduate,26729518,1085323,0.034567776,0.807692308
223,Latur,INC,2316213,Shri  Jaywant  Gangaram   Awale                                  ,Maharashtra                                                 ,21,1,10th Pass,30485766,0,0.075976867,0.807692308
361,Valmiki Nagar,JD(U),2204239,Shri  Baidyanath Prasad  Mahto                                             ,Bihar                                                       ,21,1,10th Pass,4428802,520445,0.497705474,0.807692308
78,Bolangir,BJD,2001321,Shri  Kalikesh N. Singh  Deo                                               ,Orissa                                                      ,21,2,Graduate,36148185,1431104,0.055364356,0.807692308
230,Maharajganj,INC,1045822,Shri  Harsh  Vardhan                                           ,Uttar Pradesh                                               ,21,2,10th Pass,10145601,450000,0.103081326,0.807692308
129,Gorakhpur,BJP,1450320,Shri  Yogi  Adityanath                                        ,Uttar Pradesh                                               ,21,2,Graduate,2182212,0,0.664610038,0.807692308
288,Rajkot,INC,1383907,Shri  Kuvarjibhai Mohanbhai  Bavalia                                           ,Gujarat                                                     ,21,3,Graduate,4560852,599799,0.303431683,0.807692308
68,Bhind,BJP,942287,Shri  Ashok  Argal                                             ,Madhya Pradesh                                              ,21,4,12th Pass,7972241,100000,0.118196,0.807692308
311,Sheohar,BJP,1286704,Smt.    Rama Devi                                         ,Bihar                                                       ,21,5,Graduate Professional,69429234,883367,0.018532597,0.807692308
218,Kurukshetra,INC,1792285,Shri  Naveen  Jindal                                            ,Haryana                                                     ,20,0,Post Graduate,1310730000,0,0.001367395,0.769230769
281,Puri,BJD,871753,Shri  Pinaki  Misra                                             ,Orissa                                                      ,20,0,Graduate,296900000,0,0.002936184,0.769230769
98,Davanagere,BJP,1853805,Shri   G.M.  Siddeswara                                        ,Karnataka                                                   ,20,0,10th Pass,140248867,4263675,0.013217968,0.769230769
329,Sultanpur,INC,1043965,Dr.  Sanjay  Singh                                             ,Uttar Pradesh                                               ,20,0,Doctorate,62259720,0,0.016767904,0.769230769
133,Gurgaon,INC,1334866,Shri  Inderjit Singh  Rao                                              ,Haryana                                                     ,20,0,Graduate Professional,67383257,96692,0.019810055,0.769230769
14,Amethi,INC,1108872,Shri  Rahul  Gandhi                                            ,Uttar Pradesh                                               ,20,0,Post Graduate,23274706,2335000,0.047642793,0.769230769
194,Karnal,INC,1888418,Dr.  Arvind Kumar  Sharma                                            ,Haryana                                                     ,20,0,Post Graduate,19071256,0,0.099019068,0.769230769
294,Raver,BJP,1436404,Shri  Haribhau  Jawale                                            ,Maharashtra                                                 ,20,0,Graduate,7842881,629917,0.183147494,0.769230769
283,Purulia,AIFB,1604445,Shri  Narahari  Mahato                                            ,West Bengal                                                 ,20,0,Post Graduate,3086000,400000,0.519910888,0.769230769
40,Balurghat,RSP,1690214,Shri  Prasanta Kumar  Majumdar                                          ,West Bengal                                                 ,20,0,Post Graduate,1676454,0,1.008207801,0.769230769
80,Bulandshahr,SP,1490747,Shri  Kamlesh  Balmiki                                           ,Uttar Pradesh                                               ,20,0,5th Pass,844005,0,1.766277451,0.769230769
196,Kasaragod,CPM,1276625,Shri  P.  Karunakaran                                       ,Kerala                                                      ,20,12,Post Graduate,17823645,0,0.071625361,0.769230769
11,Alwar,INC,1799858,Shri  Jitendra  Singh Malik                                       ,Rajasthan                                                   ,19,0,Graduate,67967810,0,0.026481036,0.730769231
152,Hoshangabad,INC,1421282,Shri  Uday Pratap  Singh                                             ,Madhya Pradesh                                              ,19,0,Graduate,39906000,1374065,0.035615747,0.730769231
74,Bijnor,RLD,1294228,Shri  Sanjay Singh  Chauhan                                           ,Uttar Pradesh                                               ,19,0,Graduate Professional,35352625,5254245,0.036609106,0.730769231
16,Amreli,BJP,1484684,Shri    Naranbhai   Kachhadia                             ,Gujarat                                                     ,19,0,5th Pass,4748283,300000,0.312678078,0.730769231
158,Jadavpur,AITC,1643805,Shri  Kabir  Suman                                             ,West Bengal                                                 ,19,0,Graduate,3206685,0,0.512618171,0.730769231
8,Alipurduars,RSP,1244623,Shri  Manohar  Tirkey                                            ,West Bengal                                                 ,19,0,10th Pass,2358725,0,0.527667702,0.730769231
321,Sitamarhi,JD(U),1618761,Shri  Arjun  Roy                                               ,Bihar                                                       ,19,0,Doctorate,2907146,462913,0.556821364,0.730769231
182,Kallakurichi,DMK,648229,Shri    Adhi Sankar                                       ,Tamil Nadu                                                  ,19,1,Graduate Professional,17837266,986068,0.036341276,0.730769231
239,Mathura,RLD,1964153,Shri  Jayant  Chaudhary                                         ,Uttar Pradesh                                               ,19,1,Post Graduate,30204219,288327,0.065029094,0.730769231
190,Kannur,INC,2001133,Shri  K.  Sudhakaran                                        ,Kerala                                                      ,19,3,Post Graduate,7359040,600000,0.27192854,0.730769231
339,Theni,INC,461540,Shri  J.M.  Aaron Rashid                                      ,Tamil Nadu                                                  ,18,0,12th Pass,248974573,2191815,0.001853764,0.692307692
48,Baramati,NCP,1116411,Smt.  Supriya  Sule                                              ,Maharashtra                                                 ,18,0,Graduate,515363663,0,0.002166259,0.692307692
103,Dhubri,AUDF,1488604,Shri  Badruddin  Ajmal                                             ,Assam                                                       ,18,0,Literate,303520991,0,0.004904452,0.692307692
197,Kendrapara,BJD,1486415,Shri  Baijayant  Panda                                             ,Orissa                                                      ,18,0,Graduate Professional,161100792,451767,0.009226615,0.692307692
314,Shimoga,BJP,958583,Shri  B. Y.  Raghavendra                                       ,Karnataka                                                   ,18,0,Graduate Professional,66273401,4234969,0.014464068,0.692307692
41,Banaskantha,INC,917508,Shri  Mukeshkumar  Bheiravdanji  Gadhvi                              ,Gujarat                                                     ,18,0,Graduate,22694764,0,0.04042818,0.692307692
260,Nainital-Udhamsingh Nagar,INC,2237714,Shri  K.C.  Singh Baba                                        ,Uttarakhand                                                 ,18,0,12th Pass,43987049,649024,0.05087211,0.692307692
295,Rewa,BSP,1835146,Shri  Deoraj Singh  Patel                                             ,Madhya Pradesh                                              ,18,0,Post Graduate,30845000,4961271,0.059495737,0.692307692
170,Jamnagar,INC,1093075,Shri  Vikrambhai Arjanbhai  Maadam    Ahir                                    ,Gujarat                                                     ,18,0,Graduate,15590109,400000,0.070113365,0.692307692
167,Jalore,BJP,1923250,Shri  Devji M.  Patel                                             ,Rajasthan                                                   ,18,0,10th Pass,11261830,0,0.170775975,0.692307692
90,Chittoor,TDP,1696235,Shri  Naramalli  Sivaprasad                                        ,Andhra Pradesh                                              ,18,0,Graduate Professional,6011000,0,0.282188488,0.692307692
168,Jalpaiguri,CPM,1091790,Shri  Mahendra Kumar  Roy                                               ,West Bengal                                                 ,18,0,Graduate Professional,2878591,0,0.379279307,0.692307692
235,Mandla,INC,1734616,Shri  Basori Singh  Masram                                            ,Madhya Pradesh                                              ,18,0,8th Pass,3621178,350000,0.479019811,0.692307692
146,Hatkanangle,SWP,1842778,Shri   Raju Shetti  ,Maharashtra                                                 ,18,0,10th Pass,2253785,104341,0.817636997,0.692307692
25,Asansol,CPM,1469929,Shri  Bansagopal  Chowdhury                                         ,West Bengal                                                 ,18,0,Graduate,1423763,0,1.03242534,0.692307692
145,Hathras,RLD,1535094,Smt.  Sarika  D.S. Baghel                                       ,Uttar Pradesh                                               ,18,0,Post Graduate,825272,0,1.860106728,0.692307692
243,Mayiladuthurai,ADMK,1610540,Shri  O. S.  Manian                                            ,Tamil Nadu                                                  ,18,1,12th Pass,8635089,2000000,0.186511106,0.692307692
323,Siwan,IND,1341715,Shri  Om Prakash  Yadav                                             ,Bihar                                                       ,18,1,Graduate,3032500,0,0.442445177,0.692307692
360,Vadodara,BJP,1776632,Shri  Balkrishna Khanderao  Shukla                                            ,Gujarat                                                     ,18,1,Graduate,2662058,216512,0.667390417,0.692307692
131,Guntur,INC,1241084,Shri   Rayapati S.  Rao                                               ,Andhra Pradesh                                              ,18,3,Graduate,147143582,45204329,0.00843451,0.692307692
271,Panchmahal,BJP,1430397,Shri  Prabhatsinh  Pratapsinh Chauhan                                ,Gujarat                                                     ,18,3,10th Pass,7255000,0,0.197160165,0.692307692
262,Nanded,INC,2014275,Shri  Bhaskarrao  Patil  Khatgaonkar  ,Maharashtra                                                 ,18,4,Graduate,62416000,260000,0.032271773,0.692307692
237,Mandya,JD(S),1725324,Shri  N. Cheluvaraya Swamy  ,Karnataka                                                   ,18,15,12th Pass,54168804,4125000,0.031850879,0.692307692
19,Anandpur Sahib,INC,175024,Shri  Ravneet  Singh                                             ,Punjab                                                      ,17,0,12th Pass,21821443,300000,0.008020734,0.653846154
297,Rohtak,INC,1415651,Shri  Deepender Singh  Hooda                                             ,Haryana                                                     ,17,0,Post Graduate,65367032,0,0.021656957,0.653846154
188,Kannauj,SP,2673865,Shri  Akhilesh  Yadav                                             ,Uttar Pradesh                                               ,17,0,Graduate Professional,48582202,7726354,0.055037954,0.653846154
315,Shirdi,SHS,1505938.87,Shri   Bhausaheb  Rajaram   Wakchaure                               ,Maharashtra                                                 ,17,0,Post Graduate,17860515,2427069,0.084316654,0.653846154
96,Damoh,BJP,1641086,Shri  Shivraj  Bhaiya                                            ,Madhya Pradesh                                              ,17,0,12th Pass,8929326,286513,0.1837861,0.653846154
256,Nagapattinam,DMK,1725895,Shri  A.K.S.  Vijayan                                           ,Tamil Nadu                                                  ,17,0,12th Pass,7205000,1127000,0.239541291,0.653846154
0,Agra,BJP,1068822,Prof.(Dr.)  Ram Shankar  Katheria                                          ,Uttar Pradesh                                               ,17,0,Doctorate,1511000,639959,0.707360688,0.653846154
236,Mandsour,INC,1478951,Smt.  Meenakshi  Natrajan                                          ,Madhya Pradesh                                              ,17,0,Post Graduate,1126966,0,1.312329742,0.653846154
108,Dindori,BJP,1067164,Shri  Harischandra Deoram  Chavan                                            ,Maharashtra                                                 ,17,1,Graduate,8515581,1520114,0.125318989,0.653846154
282,Purnia,BJP,830049,Shri  Uday  Singh                                             ,Bihar                                                       ,17,2,12th Pass,419130669,1410120,0.001980406,0.653846154
210,Kollam,INC,2012292,Shri  N.  Peethambarakurup                                  ,Kerala                                                      ,17,2,Graduate,2810132,0,0.716084511,0.653846154
61,Beed,BJP,1936922,Shri   Gopinathrao  Pandurang   Munde                                 ,Maharashtra                                                 ,17,4,Graduate Professional,62250603,45090238,0.031114911,0.653846154
163,Jalandhar,INC,1583439,Shri  Mohinder Singh  Kaypee                                            ,Punjab                                                      ,16,0,Graduate Professional,48196591,125000,0.032853755,0.615384615
144,Hassan,JD(S),1354693,Shri  H.D.  Devegowda                                         ,Karnataka                                                   ,16,0,Others,19624664,6499000,0.069030125,0.615384615
202,Khargone,BJP,1103222,Shri  Makhansingh  Solanki                                           ,Madhya Pradesh                                              ,16,0,5th Pass,5838265,204826,0.188964016,0.615384615
251,Morena,BJP,1112924,Shri  Narendra Singh  Tomar                                             ,Madhya Pradesh                                              ,16,0,Graduate,3453203,1780000,0.322287453,0.615384615
109,Dum Dum,AITC,1929495,Prof.  Saugata  Ray                                               ,West Bengal                                                 ,16,0,Post Graduate,3971408,0,0.485846581,0.615384615
234,Maldaha Uttar,INC,1400841,Ms.  Mausam  Noor                                              ,West Bengal                                                 ,16,0,Graduate Professional,1847359,234488,0.758293867,0.615384615
124,Gauhati,BJP,1603292,Smt.  Bijoya  Chakravarty                                       ,Assam                                                       ,16,0,Post Graduate,1870000,0,0.857375401,0.615384615
252,Murshidabad,INC,1285460,Shri  Abdul Mannan  Hossain                                           ,West Bengal                                                 ,16,1,Graduate,1709788,1006391,0.751824203,0.615384615
89,Chidambaram,VCK,1498974,Shri  Thol Thirumaavalavan  ,Tamil Nadu                                                  ,16,2,Post Graduate,2347700,881000,0.638486178,0.615384615
307,Satara,NCP,1884788,Shri   Udayanraje  Bhonsle                                          ,Maharashtra                                                 ,16,14,Others,117253344,1800000,0.016074493,0.615384615
104,Dhule,BJP,1392254,Shri  Sonawane  Pratap Narayanrao                                 ,Maharashtra                                                 ,15,0,Graduate Professional,142157029,6581693,0.009793775,0.576923077
291,Rampur,SP,1320110,Smt.  Jaya Prada  Nahata                                            ,Uttar Pradesh                                               ,15,0,12th Pass,131490118,1398995,0.010039614,0.576923077
341,Thoothukkudi,DMK,1256316,Shri  S. R.  Jeyadurai                                         ,Tamil Nadu                                                  ,15,0,Graduate,87526313,1090000,0.014353581,0.576923077
35,Bagalkot,BJP,1002049,Shri  P.C.  Gaddigoudar                                       ,Karnataka                                                   ,15,0,Graduate Professional,16762000,6674134,0.059780993,0.576923077
238,Mangaldoi,BJP,1827650,Shri  Ramen  Deka                                              ,Assam                                                       ,15,0,Graduate,7579967,0,0.241115825,0.576923077
274,Patan,INC,1825191,Shri  Jagdish  Thakor                                            ,Gujarat                                                     ,15,0,10th Pass,3389298,1158381,0.53851594,0.576923077
286,Raigarh,BJP,1443034,Shri  Vishnu Deo  Sai                                               ,Chhattisgarh                                                ,15,0,10th Pass,2302000,0,0.62686099,0.576923077
244,Mayurbhanj,BJD,991512,Shri  Laxman  Tudu                                              ,Orissa                                                      ,15,0,Graduate,173000,38986,5.731283237,0.576923077
183,Kalyan,SHS,1844939,Shri  Anand Prakash  Paranjpe                                          ,Maharashtra                                                 ,15,1,Post Graduate,11998220,3871225,0.153767726,0.576923077
172,Jaunpur,BSP,2153829,Shri  Dhananjay  Singh                                             ,Uttar Pradesh                                               ,15,1,Post Graduate,4362656,678982,0.49369673,0.576923077
263,Narasaraopet,TDP,1521093,Shri  Modugula Venugopala  Reddy                                             ,Andhra Pradesh                                              ,15,2,Graduate Professional,27493309,51964,0.055325934,0.576923077
166,Jalna,BJP,1362636,Shri  Raosaheb  Dadarao  Danve                                             ,Maharashtra                                                 ,15,3,12th Pass,24271518,530771,0.056141359,0.576923077
278,Pilibhit,BJP,1778475,Shri    Varun  Gandhi                                            ,Uttar Pradesh                                               ,15,6,Graduate,49267810,0,0.036098114,0.576923077
3,Ahmednagar,BJP,1207490,Shri  Dilip Kumar Mansukhlal  Gandhi                                            ,Maharashtra                                                 ,15,9,10th Pass,13053391,955351,0.092503933,0.576923077
33,Azamgarh,BJP,1797108,Shri  Ramakant  Yadav                                             ,Uttar Pradesh                                               ,15,11,10th Pass,24494000,0,0.073369315,0.576923077
208,Kolhapur,IND,1061023,Shri  Sadashivrao Dadoba  Mandlik                                           ,Maharashtra                                                 ,14,0,Graduate,11552012,0,0.091847463,0.538461538
50,Barasat,AITC,1932569,Dr.  Kakoli Ghosh  Dastidar                                          ,West Bengal                                                 ,14,0,Graduate Professional,12576309,335000,0.153667423,0.538461538
319,Silchar,BJP,1931725,Shri  Kabindra  Purkayastha                                       ,Assam                                                       ,14,0,Post Graduate,2098543,81279,0.920507705,0.538461538
58,Basirhat,AITC,1729056,Shri  S.K. Nurul  Islam                                             ,West Bengal                                                 ,14,0,12th Pass,1155500,807500,1.496370402,0.538461538
264,Nashik,NCP,2199595,Shri  Sameer  Bhujbal                                           ,Maharashtra                                                 ,13,0,10th Pass,66660039,0,0.032997205,0.5
26,Aska,BJD,969758,Shri  Nityananda  Pradhan                                           ,Orissa                                                      ,13,1,Post Graduate,26616692,1525000,0.036434205,0.5
369,Yavatmal-Washim,SHS,1664688,Smt.  Bhavana  Gawali                                            ,Maharashtra                                                 ,13,1,Graduate,30399471,2430911,0.054760427,0.5
206,Kodarma,JVM,2290467,Shri  Babu Lal  Marandi                                           ,Jharkhand                                                   ,13,1,Graduate,2137675,0,1.071475786,0.5
29,Aurangabad,SHS,668346,Shri  Chandrakant  Khaire                                            ,Maharashtra                                                 ,13,4,Post Graduate,20887871,741199,0.031996846,0.5
149,Hingoli,SHS,1751123,Shri  Subhash Bapurao  Wankhede                                          ,Maharashtra                                                 ,13,4,10th Pass,3488000,484000,0.502042144,0.5
241,Maval,SHS,1667211,Shri  Gajanan D.  Babar                                             ,Maharashtra                                                 ,13,7,Literate,67831434,0,0.024578737,0.5
28,Aurangabad,SHS,668346,Shri  Chandrakant  Khaire                                            ,Maharashtra                                                 ,13,16,12th Pass,14151539,1472122,0.047227796,0.5
86,Chandrapur,BJP,1783265,Shri  Hansraj Gangaram  Ahir                                              ,Maharashtra                                                 ,13,30,10th Pass,8084050,262243,0.220590546,0.5
97,Darjeeling,BJP,1169618,Shri  Jaswant  Singh                                             ,West Bengal                                                 ,12,0,Graduate,83571845,744864,0.013995359,0.461538462
105,Diamond Harbour,AITC,1518890,Shri  Somendranath  Mitra                                             ,West Bengal                                                 ,12,0,Graduate Professional,14730832,157500,0.103109587,0.461538462
322,Sitapur,BSP,1763489,Smt.  Kaisar  Jahan                                             ,Uttar Pradesh                                               ,12,0,8th Pass,6553956,0,0.26907245,0.461538462
337,Tezpur,AGP,1897448,Shri  Joseph  Toppo                                             ,Assam                                                       ,12,0,10th Pass,936292,535000,2.026555818,0.461538462
21,Aonla,BJP,1083303,Smt.  Maneka  Gandhi                                            ,Uttar Pradesh                                               ,12,1,12th Pass,175685977,0,0.006166132,0.461538462
18,Amroha,RLD,1091688,Shri  Devendra  Nagpal                                            ,Uttar Pradesh                                               ,12,6,Graduate,132425712,13960788,0.008243777,0.461538462
81,Buldhana,SHS,1762603,Shri   Prataprao  Ganpatrao Jadhav                                  ,Maharashtra                                                 ,12,10,Graduate,12052820,4541550,0.146239884,0.461538462
355,Udupi Chikmagalur,BJP,1499820,Shri  D.V. Sadananda  Gowda                                             ,Karnataka                                                   ,11,0,Graduate Professional,14375959,2486447,0.104328344,0.423076923
117,Faridabad,INC,1241268,Shri  Avtar Singh  Bhadana                                           ,Haryana                                                     ,11,1,8th Pass,40573585,0,0.030593008,0.423076923
316,Shirur,SHS,1911500,Shri  Shivaji  Adhalrao Patil                                    ,Maharashtra                                                 ,11,4,Post Graduate,127113134,16221275,0.015037785,0.423076923
60,Bathinda,SAD,1100204,Smt.  Harsimrat Kaur  Badal                                             ,Punjab                                                      ,10,0,10th Pass,603100135,13800,0.001824248,0.384615385
150,Hisar,HJCBL,1159698,Shri    Bhajan Lal                                        ,Haryana                                                     ,10,0,12th Pass,65113381,7354075,0.017810441,0.384615385
289,Rajnandgaon,BJP,1854221,Shri  Madhusudan  Yadav                                             ,Chhattisgarh                                                ,10,1,12th Pass,1165680,0,1.590677544,0.384615385
350,Tripura West,CPM,1740286,Shri  Khagen  Das                                               ,Tripura                                                     ,9,0,Post Graduate,3492580,0,0.498280927,0.346153846
334,Tamluk,AITC,1274375,Shri    Suvendu   Adhikari                                ,West Bengal                                                 ,8,3,Graduate,4751934,0,0.268180282,0.307692308
253,Muzaffarnagar,BSP,1156040,Shri  Kadir  Rana                                              ,Uttar Pradesh                                               ,8,4,Literate,58451906,0,0.019777627,0.307692308
279,Porbandar,INC,2010851,Shri   Vitthalbhai  Harnsrajbhai   Radadiya                           ,Gujarat                                                     ,8,16,Graduate,20675722,0,0.097256628,0.307692308
132,Gurdaspur,INC,1160562,Shri  Partap Singh  Bajwa                                             ,Punjab                                                      ,7,0,Graduate,68053249,100000,0.017053734,0.269230769
177,Junagadh,BJP,1981234,Shri  Dinubhai  Boghabhal   Solanki                               ,Gujarat                                                     ,7,1,Graduate,19460865,5945896,0.101806061,0.269230769
17,Amritsar,BJP,1703665,Shri  Navjot Singh  Sidhu                                             ,Punjab                                                      ,6,1,Graduate,145037236,0,0.011746397,0.230769231
225,Lucknow,BJP,1651350,Shri  Lalji  Tandon                                            ,Uttar Pradesh                                               ,5,0,Graduate,21700160,0,0.076098517,0.192307692
110,Dumka,JMM,1638738,Shri  Shibu  Soren                                             ,Jharkhand                                                   ,5,3,10th Pass,8229419,7265635,0.199131676,0.192307692
240,Mathurapur,AITC,651097,  Choudhury Mohan  Jatua                                             ,West Bengal                                                 ,2,0,Post Graduate,2585000,0,0.251875048,0.076923077
276,Patiala,INC,1438708,Smt.    Preneet Kaur                                      ,Punjab                                                      ,0,0,Graduate,423043438,0,0.003400852,0
85,Chandni Chowk,INC,1217347,Shri  Kapil  Sibal                                             ,Delhi                                                       ,0,0,Post Graduate,319722459,0,0.003807512,0
312,Shillong,INC,982698,Shri  Vincent H.  Pala                                              ,Meghalaya                                                   ,0,0,Graduate Professional,251618190,0,0.003905513,0
23,Arunachal East,INC,889725,Shri  Ninong  Ering                                             ,Arunachal Pradesh                                           ,0,0,Graduate,104320000,1251784,0.008528806,0
130,Guna,INC,1379878,Shri  Jyotiraditya Madhavrao  Scindia                                           ,Madhya Pradesh                                              ,0,0,Post Graduate,149094212,0,0.009255074,0
175,Jodhpur,INC,1411442,Smt.  Chandresh  Kumari                                            ,Rajasthan                                                   ,0,0,12th Pass,132881067,60744,0.010621844,0
203,Kheda,INC,454374,Shri  Dinsha  Patel                                             ,Gujarat                                                     ,0,0,10th Pass,23065019,3480352,0.019699702,0
305,Sangrur,INC,724530,Shri  Vijay Inder  Singla                                            ,Punjab                                                      ,0,0,12th Pass,34777859,374957,0.020833082,0
36,Baghpat,RLD,1304886,Shri  Ajit  Singh                                             ,Uttar Pradesh                                               ,0,0,Post Graduate,58232462,13077,0.022408223,0
213,Korba,INC,1540117,Dr.  Charan Das  Mahant                                            ,Chhattisgarh                                                ,0,0,Doctorate,42704354,1643424,0.036064636,0
12,Ambala,INC,1724028,Kumari    Selja                                             ,Haryana                                                     ,0,0,Post Graduate,46711386,0,0.036908089,0
161,Jaipur Rural,INC,1400570,Shri  Lal Chand  Kataria                                           ,Rajasthan                                                   ,0,0,10th Pass,30650401,702835,0.045694998,0
128,Gonda,INC,1177485,Shri  Beni Prasad  Verma                                             ,Uttar Pradesh                                               ,0,0,Graduate Professional,20183574,80932,0.058338776,0
226,Ludhiana,INC,1847705,Shri  Manish  Tewari                                            ,Punjab                                                      ,0,0,Graduate Professional,29941543,0,0.061710414,0
229,Mahabubabad,INC,1258657,Shri  P.  Balram  Naik                                      ,Andhra Pradesh                                              ,0,0,Graduate,17195194,14122000,0.073198185,0
113,Ernakulam,INC,1214541,Prof.  K.V.  Thomas                                            ,Kerala                                                      ,0,0,Post Graduate,15041664,2209490,0.080745122,0
176,Jorhat,INC,1396081,Shri  Bijoy Krishna  Handique                                          ,Assam                                                       ,0,0,Post Graduate,15428123,0,0.090489362,0
285,Raiganj,INC,1613946,Smt.  Deepa  Dasmunsi                                          ,West Bengal                                                 ,0,0,Post Graduate,12514145,0,0.128969738,0
106,Dibrugarh,INC,1555334,Shri  Paban Singh  Ghatowar                                          ,Assam                                                       ,0,0,Graduate,9797014,0,0.158755923,0
233,Maldaha Dakshin,INC,1597521,Shri  A.H.   Khan  Choudhury                                         ,West Bengal                                                 ,0,0,Doctorate,8782797,0,0.181892056,0
352,Tura,NCP,1694562,Km.  Agatha K.  Sangma                                            ,Meghalaya                                                   ,0,0,Post Graduate,6644295,0,0.255040151,0
359,Vadakara,INC,1269623,Shri  Mullappally  Ramachandran                                      ,Kerala                                                      ,0,0,Post Graduate,3316300,502346,0.382843229,0
